Team: Niriksh-991

Image_name, Predicted_Class

100.png, CLEAN_CRACK
101.png, CRACK
102.png, BRIDGE
103.png, OPEN
104.png, CRACK
105.png, PARTICLE
106.png, PARTICLE
107.png, CLEAN_CRACK
108.png, BRIDGE
109.png, CRACK
110.png, OTHERS
111.png, LER
113.png, VIA
114.png, CLEAN_LAYER
115.png, OTHERS
116.png, OTHERS
117.png, BRIDGE
119.png, CRACK
121.png, CMP
122.png, PARTICLE
124.png, BRIDGE
125.png, LER
127.png, CLEAN_LAYER
128.png, OPEN
129.png, OTHERS
130.png, LER
131.png, VIA
132.png, OPEN
133.png, OPEN
134.png, LER
135.png, LER
136.png, CLEAN_CRACK
138.png, OTHERS
140.png, OTHERS
141.png, BRIDGE
142.png, BRIDGE
143.png, LER
144.png, OTHERS
145.png, BRIDGE
147.png, CRACK
148.png, OTHERS
150.png, LER
151.png, OTHERS
152.png, OTHERS
153.png, PARTICLE
154.png, OTHERS
155.png, PARTICLE
157.png, LER
158.png, VIA
160.png, CRACK
161.png, CMP
162.png, OPEN
163.png, BRIDGE
165.png, CMP
166.png, CLEAN_VIA
168.png, LER
169.png, OPEN
170.png, PARTICLE
171.png, VIA
172.png, CRACK
173.png, BRIDGE
174.png, OTHERS
175.png, CRACK
176.png, CLEAN_LAYER
177.png, CMP
178.png, CLEAN_LAYER
179.png, CMP
180.png, VIA
181.png, CMP
182.png, CRACK
183.png, VIA
185.png, LER
187.png, VIA
188.png, VIA
190.png, OTHERS
191.png, CMP
192.png, CLEAN_CRACK
193.png, OTHERS
195.png, CLEAN_VIA
196.png, PARTICLE
197.png, CRACK
198.png, OTHERS
199.png, VIA
202.png, LER
203.png, OPEN
204.png, BRIDGE
207.png, OTHERS
208.png, CMP
209.png, CMP
210.png, VIA
211.png, OPEN
212.png, VIA
213.png, CRACK
215.png, OTHERS
216.png, CRACK
217.png, CMP
218.png, PARTICLE
219.png, BRIDGE
220.png, VIA
221.png, CLEAN_VIA
222.png, PARTICLE
223.png, PARTICLE
224.png, PARTICLE
225.png, LER
227.png, VIA
229.png, LER
230.png, CRACK
233.png, LER
234.png, BRIDGE
235.png, CRACK
236.png, OTHERS
238.png, CLEAN_LAYER
239.png, PARTICLE
239_1.png, OPEN
241.png, BRIDGE
242.png, CLEAN_CRACK
243.png, BRIDGE
244.png, PARTICLE
245.png, OTHERS
247.png, CRACK
248.png, CLEAN_LAYER
249.png, LER
250.png, CLEAN_LAYER
251.png, CMP
252.png, PARTICLE
253.png, VIA
254.png, CRACK
255.png, LER
256.png, LER
257.png, VIA
258.png, OTHERS
259.png, BRIDGE
260.png, CLEAN_CRACK
262.png, CRACK
263.png, CLEAN_LAYER
265.png, CRACK
266.png, VIA
267.png, VIA
268.png, OPEN
269.png, VIA
270.png, CLEAN_VIA
271.png, CRACK
272.png, CMP
273.png, BRIDGE
274.png, PARTICLE
275.png, CMP
278.png, BRIDGE
280.png, PARTICLE
282.png, CRACK
283.png, OTHERS
285.png, OTHERS
286.png, OPEN
287.png, LER
288.png, CLEAN_LAYER
289.png, CMP
290.png, CLEAN_LAYER
291.png, VIA
293.png, CLEAN_LAYER
294.png, CLEAN_CRACK
295.png, CMP
296.png, OPEN
297.png, OPEN
300.png, CMP
301.png, CRACK
302.png, CMP
304.png, CLEAN_CRACK
305.png, CLEAN_VIA
306.png, OPEN
307.png, CMP
308.png, CLEAN_LAYER
309.png, LER
310.png, CMP
311.png, LER
312.png, CLEAN_LAYER
313.png, PARTICLE
314.png, PARTICLE
315.png, VIA
317.png, VIA
319.png, CLEAN_VIA
320.png, OTHERS
322.png, PARTICLE
324.png, CMP
325.png, CRACK
326.png, BRIDGE
327.png, OTHERS
328.png, CRACK
329.png, CMP
331.png, LER
332.png, VIA
334.png, CRACK
335.png, BRIDGE
336.png, OTHERS
337.png, LER
338.png, OPEN
339.png, BRIDGE
341.png, CLEAN_CRACK
342.png, LER
343.png, CLEAN_CRACK
345.png, CLEAN_LAYER
347.png, BRIDGE
348.png, OTHERS
349.png, LER
350.png, OTHERS
351.png, PARTICLE
352.png, VIA
353.png, OPEN
354.png, CMP
355.png, BRIDGE
356.png, LER
357.png, OTHERS
358.png, VIA
359.png, CLEAN_VIA
360.png, PARTICLE
361.png, BRIDGE
362.png, OPEN
365.png, PARTICLE
366.png, CRACK
367.png, CLEAN_VIA
369.png, OTHERS
370.png, CRACK
372.png, CRACK
373.png, OTHERS
375.png, LER
376.png, VIA
377.png, OPEN
378.png, LER
379.png, OTHERS
380.png, OPEN
381.png, LER
382.png, CRACK
383.png, CLEAN_VIA
384.png, VIA
385.png, BRIDGE
386.png, OTHERS
387.png, CRACK
388.png, PARTICLE
389.png, CRACK
390.png, BRIDGE
391.png, PARTICLE
392.png, OTHERS
393.png, OPEN
396.png, CRACK
397.png, CRACK
398.png, LER
399.png, BRIDGE
400.png, CLEAN_LAYER
402.png, OPEN
403.png, VIA
404.png, LER
405.png, OPEN
406 (1).png, CRACK
406.png, CRACK
407.png, OPEN
